Country Code,Country Name,Year,"Foreign direct investment, net inflows (BoP, current US$)",Total reserves (gold + US$),Consumer Price,Time required to start a business (days),Total tax and contribution rate (PCT of profit),Final Consumption Expenditure,Exports of goods and services (PCT of GDP),Imports of goods and services (PCT of GDP),Gross Domestic Product,GDP Growth,GNI Per Capita,Gross Savings,"Primary completion rate, total (PCT of relevant age group)",Expenditure Education,Unemployment,"Intentional homicides (per 100,000 people)",Access Elect.,Basic Sanitation,Population Density,Maternal Mortality,Refugee population by country or territory of asylum,Refugee population by country or territory of origin,Research and development expenditure (PCT of GDP),Mobile Subs.,"Labour force, total",Population Total,GDP per_capita,"Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Growth Rate (percentage),"Crude Birth Rate (births per 1,000 population)","Median Age, as of 1 July (years)","Life Expectancy at Birth, both sexes (years)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)","Infant Mortality Rate (infant deaths per 1,000 live births)","Infant Deaths, under age 1 (thousands)"
AFG,Afghanistan,2000,170000.0,6891864988.703063,112.71886347869925,9.0625,43.75333333333333,3.8060020325309036,41.106220644945964,45.66034798042753,14162156014.398624,4.748049174328982,551.5384615384615,24.10427712679715,83.71647644042967,3.2741661965847033,10.8059997558594,5.91282460300783,1.61359095573425,30.86371867,30.7780473608431,1100.0,51004.45,3587327.0,0.7927416641621845,0.0,4585069.0,19542982.0,1437.8603972166295,753.278,37.568,-1.299,49.664,14.127,55.298,-1007.135,-50.229,90.813,89.811
AFG,Afghanistan,2001,680000.0,6891864988.703063,112.71886347869925,9.0625,43.75333333333333,3.8060020325309036,41.106220644945964,45.66034798042753,14162156014.398624,4.748049174328982,551.5384615384615,24.10427712679715,83.71647644042967,3.2741661965847033,10.8090000152588,5.91282460300783,4.07457399368286,30.86371867,32.1147918389854,1050.0,10.0,3809763.0,0.7927416641621845,0.0,4614655.0,19688632.0,1437.8603972166295,737.451,37.266,2.769,48.979,14.059,55.798,-192.286,-9.717,88.358,85.059
AFG,Afghanistan,2002,50000000.0,6891864988.703063,112.71886347869925,9.0625,43.75333333333333,3.8060020325309036,41.106220644945964,45.66034798042753,3854235264.37171,4.748049174328982,551.5384615384615,24.10427712679715,83.71647644042967,3.2741661965847033,11.2569999694824,5.91282460300783,9.40915775299072,32.39546458,33.6671307784211,996.0,51004.45,2510294.0,0.7927416641621845,0.119046168,4925067.0,21000256.0,875.517610447298,751.008,36.921,9.904,48.201,14.025,56.454,1327.074,65.242,85.779,83.614
AFG,Afghanistan,2003,57799999.9,6891864988.703063,112.71886347869925,9.0625,43.75333333333333,3.8060020325309036,41.106220644945964,45.66034798042753,4539500884.0479,8.83227781263571,551.5384615384615,24.10427712679715,83.71647644042967,3.2741661965847033,11.1409997940063,5.91282460300783,14.7385063171387,33.92721049,35.3289388230248,941.0,24.0,2136039.0,0.7927416641621845,0.883192104,5320158.0,22645130.0,922.829449153001,823.031,36.652,5.352,47.35,14.017,57.344,388.632,17.307,82.6,87.396
AFG,Afghanistan,2004,186900000.0,6891864988.703063,63.5233948093157,9.5,43.75333333333333,3.8060020325309036,41.106220644945964,45.66034798042753,5220823684.66085,1.41411798058979,551.5384615384615,24.10427712679715,83.71647644042967,3.2741661965847033,10.9879999160767,5.91282460300783,20.0649681091309,35.4589564,36.9435698312042,881.0,31.0,2414460.0,0.7927416641621845,2.547386592,5548197.0,23553551.0,916.334474798349,853.793,36.053,2.57,46.33,14.033,57.944,-248.616,-10.498,79.936,87.383
AFG,Afghanistan,2005,271000000.0,6891864988.703063,71.5821433759539,9.5,35.8,3.8060020325309036,41.106220644945964,45.66034798042753,6226199249.32211,11.2297148236429,551.5384615384615,24.10427712679715,83.71647644042967,2.5699999332428,11.2170000076294,5.91282460300783,25.3908939361572,36.99070231,38.4014918971908,821.0,31.0,2166139.0,0.7927416641621845,4.915778177,5794645.0,24411191.0,1011.59552439759,857.912,35.322,4.548,45.263,14.164,58.361,252.185,10.383,77.515,84.954
AFG,Afghanistan,2006,238000000.0,6891864988.703063,76.4387030058668,9.5,35.8,3.8060020325309036,41.106220644945964,45.66034798042753,6971379033.26327,5.35740325126351,551.5384615384615,24.10427712679715,83.71647644042967,2.90000009536743,11.0989999771118,5.91282460300783,30.7186908721924,38.52244822,39.6615660325338,776.0,34.0,2107510.0,0.7927416641621845,9.905952707,6070572.0,25442944.0,1065.61966514703,890.737,35.042,3.748,44.721,14.326,58.684,62.684,2.466,74.851,84.451
AFG,Afghanistan,2007,188690000.0,6891864988.703063,83.0740187275294,10.5,35.8,3.8060020325309036,41.106220644945964,45.66034798042753,9715761649.79443,13.8263195479763,551.5384615384615,24.10427712679715,83.71647644042967,2.84999990463257,11.3009996414185,5.91282460300783,36.0510101318359,40.40061289,40.7695248598474,724.0,43.0,3057655.0,0.7927416641621845,18.02123984,6109636.0,25903301.0,1210.4792652894,910.059,34.499,-0.126,43.858,14.125,59.111,-942.887,-35.743,71.939,82.891
AFG,Afghanistan,2008,46033740.0,3042274496.10726,105.021064735005,10.5,35.8,3.8060020325309036,41.106220644945964,45.66034798042753,10249767311.213,3.92498382161573,551.5384615384615,24.10427712679715,83.71647644042967,3.50999999046326,11.0930004119873,5.91282460300783,42.4000015258789,42.30527293,41.8068667095549,676.0,37.0,2833116.0,0.7927416641621845,29.88931593,6197115.0,26427199.0,1247.06614429099,859.485,32.674,4.089,41.506,14.044,59.852,221.0,8.401,69.248,76.467
AFG,Afghanistan,2009,56107246.5,4265888740.23846,97.8679108385313,9.5,35.8,3.8060020325309036,41.106220644945964,45.66034798042753,12154835707.8987,21.3905283931066,460.0,24.10427712679715,83.71647644042967,3.73000001907349,11.3109998703003,3.92677449530735,46.7400512695313,44.23642836,42.8948488190424,631.0,36.0,2887114.0,0.7927416641621845,38.34172829,6486771.0,27385307.0,1482.09883711417,894.601,32.622,3.052,41.157,14.27,60.364,-58.881,-2.147,67.213,75.339
